Код;Дата;Расход
00000947;02.04.2024 0:00:00;134
00000947;03.04.2024 0:00:00;250
00000947;04.04.2024 0:00:00;1488
00000947;05.04.2024 0:00:00;80
00000947;06.04.2024 0:00:00;60
00000947;07.04.2024 0:00:00;276
00000947;08.04.2024 0:00:00;676
00000947;09.04.2024 0:00:00;162
00000947;10.04.2024 0:00:00;1020
00000947;11.04.2024 0:00:00;90
00000947;12.04.2024 0:00:00;10
00000947;13.04.2024 0:00:00;320
00000947;14.04.2024 0:00:00;30
00000947;15.04.2024 0:00:00;240
00000947;16.04.2024 0:00:00;58
00000947;17.04.2024 0:00:00;1706
00000947;18.04.2024 0:00:00;575
00000947;19.04.2024 0:00:00;76
00000947;20.04.2024 0:00:00;240
00000947;21.04.2024 0:00:00;258
00000947;22.04.2024 0:00:00;205
00000947;23.04.2024 0:00:00;219
00000947;24.04.2024 0:00:00;600
00000947;25.04.2024 0:00:00;146
00000947;26.04.2024 0:00:00;80
00000947;27.04.2024 0:00:00;100
00000947;28.04.2024 0:00:00;318
00000947;29.04.2024 0:00:00;176
00000947;30.04.2024 0:00:00;334
00000947;01.05.2024 0:00:00;548
00000947;02.05.2024 0:00:00;740
00000947;03.05.2024 0:00:00;44
00000947;04.05.2024 0:00:00;400
00000947;05.05.2024 0:00:00;150
00000947;06.05.2024 0:00:00;122
00000947;07.05.2024 0:00:00;274
00000947;08.05.2024 0:00:00;1128
00000947;09.05.2024 0:00:00;82
00000947;10.05.2024 0:00:00;80
00000947;11.05.2024 0:00:00;70
00000947;12.05.2024 0:00:00;180
00000947;13.05.2024 0:00:00;184
00000947;14.05.2024 0:00:00;70
00000947;15.05.2024 0:00:00;384
00000947;16.05.2024 0:00:00;260
00000947;17.05.2024 0:00:00;10
00000947;18.05.2024 0:00:00;530
00000947;19.05.2024 0:00:00;189
00000947;20.05.2024 0:00:00;33
00000947;21.05.2024 0:00:00;0
00000947;22.05.2024 0:00:00;300
00000947;23.05.2024 0:00:00;150
00000947;24.05.2024 0:00:00;30
00000947;25.05.2024 0:00:00;120
00000947;26.05.2024 0:00:00;70
00000947;27.05.2024 0:00:00;354
00000947;28.05.2024 0:00:00;270
00000947;29.05.2024 0:00:00;528
00000947;30.05.2024 0:00:00;720
00000947;31.05.2024 0:00:00;130
00000947;01.06.2024 0:00:00;110
00000947;02.06.2024 0:00:00;135
00000947;03.06.2024 0:00:00;40
00000947;04.06.2024 0:00:00;26
00000947;05.06.2024 0:00:00;0
00000947;06.06.2024 0:00:00;270
00000947;07.06.2024 0:00:00;100
00000947;08.06.2024 0:00:00;180
00000947;09.06.2024 0:00:00;20
00000947;10.06.2024 0:00:00;224
00000947;11.06.2024 0:00:00;898
00000947;12.06.2024 0:00:00;152
00000947;13.06.2024 0:00:00;124
00000947;14.06.2024 0:00:00;0
00000947;15.06.2024 0:00:00;140
00000947;16.06.2024 0:00:00;150
00000947;17.06.2024 0:00:00;75
00000947;18.06.2024 0:00:00;164
00000947;19.06.2024 0:00:00;140
00000947;20.06.2024 0:00:00;50
00000947;21.06.2024 0:00:00;170
00000947;22.06.2024 0:00:00;400
00000947;23.06.2024 0:00:00;20
